source_id,source_url,source_title,original_question,self_contained_question,question_type,clinical_domain,why_open,difficulty
PMID:38345416,https://pubmed.ncbi.nlm.nih.gov/38345416/,Glymphatic system dysfunction in neurodegenerative diseases.,An open question in the field is to define the mechanistic underpinning of why glymphatic function is suppressed.,What are the mechanistic underpinnings of why glymphatic system function (the brain's waste clearance pathway involving cerebrospinal fluid flow through perivascular channels) is suppressed in neurodegenerative diseases such as Alzheimer's disease?,mechanism,Neurology,"Multiple studies have consistently documented suppressed glymphatic fluid transport in neurodegenerative diseases, but the molecular and cellular mechanisms driving this suppression remain undefined.",5
PMID:38345416,https://pubmed.ncbi.nlm.nih.gov/38345416/,Glymphatic system dysfunction in neurodegenerative diseases.,Other questions include the opportunities for using glymphatic imaging for diagnostic purposes.,Can glymphatic system imaging (using neuroimaging approaches to visualize brain fluid transport through perivascular pathways) be used as a reliable diagnostic tool for Alzheimer's disease and other neurodegenerative diseases?,diagnosis,Neurology,"While various neuroimaging approaches have been used to study glymphatic function in research settings, their clinical utility for diagnosing neurodegenerative diseases has not been established.",4
PMID:38345416,https://pubmed.ncbi.nlm.nih.gov/38345416/,Glymphatic system dysfunction in neurodegenerative diseases.,Other questions include...treatment intended to prevent or slow Alzheimer disease progression [via glymphatic function].,Can therapeutic interventions targeting the glymphatic system (the brain's perivascular waste clearance pathway) be used to prevent or slow the progression of Alzheimer's disease?,treatment,Neurology,"Although glymphatic impairment is consistently observed in Alzheimer's disease patients, no treatments targeting glymphatic function have been developed or tested for disease modification.",5
PMID:33385325,https://pubmed.ncbi.nlm.nih.gov/33385325/,Behaviorally consequential astrocytic regulation of neural circuits.,A long-standing open question is how astrocytes regulate neural circuits in ways that are behaviorally consequential.,How do astrocytes (a major class of glial cells in the central nervous system) regulate neural circuit activity in ways that produce measurable behavioral consequences in living organisms?,mechanism,Neuroscience,"While astrocytes are known to mediate developmental, physiological, and pathological processes, the precise mechanisms by which they modulate neural circuits to influence behavior remain poorly characterized, despite two decades of research.",5
PMID:33385325,https://pubmed.ncbi.nlm.nih.gov/33385325/,Behaviorally consequential astrocytic regulation of neural circuits.,"Including astrocytes in mechanistic, theoretical, and computational studies of neural circuits provides new perspectives to understand behavior, its regulation, and its disease-related manifestations.","How should astrocytes be incorporated into mechanistic, theoretical, and computational models of neural circuits to better understand the pathophysiology of neurological and psychiatric diseases with known astrocytic involvement?",methodology,Neuroscience,"Current models of neural circuit function largely exclude astrocytes, and integrating their contributions remains a methodological challenge that limits understanding of disease mechanisms.",4
PMID:30203180,https://pubmed.ncbi.nlm.nih.gov/30203180/,The association between migraine and physical exercise.,"The frequency and intensity of exercise that is required is still an open question, which should be addressed in future studies to delineate an evidence-based exercise program to prevent migraine in sufferers.","What specific frequency, intensity, and duration of physical exercise are required to achieve a prophylactic effect against migraine attacks, and what would constitute an evidence-based exercise program for migraine prevention?",prevention,Neurology,"While epidemiological and experimental evidence suggests regular exercise may reduce migraine frequency, the optimal exercise prescription (frequency, intensity, duration) has not been established through controlled trials.",3
PMID:30203180,https://pubmed.ncbi.nlm.nih.gov/30203180/,The association between migraine and physical exercise.,What exact role exercise plays in migraine prevention is unclear.,"What is the exact role of physical exercise in migraine prevention, given that exercise can act both as a migraine trigger and as migraine prophylaxis?",mechanism,Neurology,"The paradoxical dual role of exercise as both a trigger and preventive measure for migraine remains mechanistically unclear, with proposed mechanisms including altered neuropeptide release and endocannabinoid levels but no definitive evidence.",3
PMID:30203180,https://pubmed.ncbi.nlm.nih.gov/30203180/,The association between migraine and physical exercise.,"Possible mechanisms for how exercise may trigger migraine attacks, include acute release of neuropeptides such as calcitonin gene-related peptide or alternation of hypocretin or lactate metabolism.","What are the definitive pathophysiological mechanisms by which acute physical exercise triggers migraine attacks -- is it primarily through release of calcitonin gene-related peptide (CGRP), alterations in hypocretin (orexin) signaling, changes in lactate metabolism, or other pathways?",mechanism,Neurology,"Several candidate mechanisms have been proposed for exercise-triggered migraine, including CGRP release and hypocretin/lactate metabolism alterations, but none have been definitively confirmed as the primary pathway.",4
PMID:39331867,https://pubmed.ncbi.nlm.nih.gov/39331867/,Systematic narrative review of modalities in physiotherapy for managing pain in hip and knee osteoarthritis: A review.,"The efficacy of modalities used in physiotherapy to manage OA pain for reducing the need for joint replacement remains an open question, and guidelines differ.","Do physiotherapy modalities such as ultrasound, diathermy, and electrical stimulation effectively reduce the need for joint replacement surgery in patients with knee and hip osteoarthritis?",treatment,Orthopedics,"While some physiotherapy protocols achieve clinically important pain reduction, evidence remains insufficient to establish whether these modalities can delay or prevent the need for joint replacement, and clinical guidelines remain inconsistent.",3
PMID:39331867,https://pubmed.ncbi.nlm.nih.gov/39331867/,Systematic narrative review of modalities in physiotherapy for managing pain in hip and knee osteoarthritis: A review.,Studies on hip remains scarce.,"What is the efficacy of physiotherapy modalities (ultrasound, diathermy, electrical stimulation) specifically for managing pain in hip osteoarthritis, given that most existing evidence focuses on knee osteoarthritis?",treatment,Orthopedics,"Research on physiotherapy modalities for hip osteoarthritis is scarce compared to knee osteoarthritis, leaving a significant evidence gap for clinical decision-making in hip OA management.",2
